Facility Number,Facility Name,Facility Type,Better Beginnings,Address,County,Director,Owner,Phone,Email Address,Website Address,Total Allowed Capacity,Voucher Participant,CACFP Facility,ABC Facility
6672,North Hills Services Inc,Early Intervention Day Treatment (EIDT),Level 1,"207 Fred Rains Dr, Sherwood, AR, 72120-5457",Pulaski,Stacy Hobby,North Hills Services Inc,(501) 834-0217,stacylynn@northhillsservices.com,,98,FALSE,TRUE,FALSE
31419,Songbird Preforming Arts Foundation,Out of School Time,Level 1,"3425 Baseline Road, Little Rock, AR, 72209",Pulaski,Tiffany Pettus,Songbird Multimedia and Performing Arts Foundation INC,(501) 612-0864,songbirdmediaworld@gmail.com,,159,FALSE,FALSE,FALSE
31367,St. Margarets Early Childhood Center,Child Care Center,Level 1,"20900 Chenal Pkwy, Little Rock, AR, 72223-9556",Pulaski,Kris Alexander,St. Margarets Epispocal Church,(501) 821-1311,kalexander@stmargaretschurch.org,,49,FALSE,FALSE,FALSE
30537,Primrose School of West Little Rock,Child Care Center,Level 1,"1601 Kirk Road, Little Rock, AR, 72223",Pulaski,Larissa Glover,Malika Pabani,(501) 821-2200,lglover@primrosewestlittlerock.com,,224,FALSE,FALSE,FALSE
30065,Ferncliff Camp & Conference Center Pre-K,Child Care Center,Level 1,"1720 Ferncliff Rd, Little Rock, AR, 72223-9404",Pulaski,Emily Wernsdorfer,FERNCLIFF Camp and Conference Center,(501) 821-3063,naturepreschool@ferncliff.org,,518,FALSE,FALSE,FALSE
29204,"Johnson's Montessori School, Inc.",Child Care Center,Level 1,"708 Towne Oaks Drive, Little Rock, AR, 72227",Pulaski,Tara Jemison,Johnsons Montessori School Inc,(501) 615-3738,jmsinc27@yahoo.com,,67,FALSE,FALSE,FALSE
25573,Kids Life,Child Care Center,Level 1,"321 Pleasant Valley Dr, Little Rock, AR, 72212-3157",Pulaski,Leah Phelps,St James United Methodist Church,(501) 217-6786,leah@stjameslr.org,,92,FALSE,FALSE,FALSE
14383,Calvary Academy Pre-K,Child Care Center,Level 1,"1401 Calvary Rd, North Little Rock, AR, 72116",Pulaski,Georgia Best,First Pentecostal Church,(501) 758-3090,dfranks@calvaryacademynlr.com,,46,FALSE,FALSE,FALSE
7882,Our Lady Of Holy Souls,Child Care Center,Level 1,"1001 N Tyler St, Little Rock, AR, 72205-1749",Pulaski,Amber Bagby,Our Lady Of Holy Souls,(501) 663-4513,extendedcare@holysouls.org,,160,FALSE,FALSE,FALSE
7183,Lakewood Methodist Mothers Day Out,Child Care Center,Level 1,"1922 Topf Rd, North Little Rock, AR, 72116-7421",Pulaski,Stephanie Jones,"Lakewood United Methodist Church Mother's Day Out, Inc",(501) 753-6186,sables@expandingthelight.org,www.expandingthelight.org,383,TRUE,FALSE,FALSE
5410,Westover Hills Presbyterian Preschool,Child Care Center,Level 1,"6400 Richard B Hardie Drive, Little Rock, AR, 72207",Pulaski,Shawn Mittledorf,Westover Hills Presbyterian Church,(501) 666-0880,westoverhillspreschool@gmail.com,www.westoverhills.org,151,FALSE,FALSE,FALSE
1737,Sylvan Hills UMC Early Learning Center,Child Care Center,Level 1,"9921 Arkansas 107, Sherwood, AR, 72120",Pulaski,Wendy Spencer,Sylvan Hills United Methodist Church,(501) 835-3850,shumcelcdirector@outlook.com,www.sylvanhillsumc.com,59,FALSE,FALSE,FALSE
307,Park Hill Baptist Child Dev Center,Child Care Center,Level 1,"201 E C St, North Little Rock, AR, 72116-8807",Pulaski,Melissa Smith,Park Hill Baptist Church,(501) 753-2147,msmith@parkhill.church,www.parkhill.church; Door Code is 22824*,240,FALSE,FALSE,FALSE
56481,Adventure Academy,Child Care Center,Level 0,"3700 E Maryland Ave, Sherwood, AR, 72120-2356",Pulaski,Samantha Copenhaver,Adventure Academy,(501) 599-0133,adventureacademy72120@gmail.com,www.adventureacademy.online,116,FALSE,FALSE,FALSE
55942,Cornerstone Christian Preparatory School,Out of School Time,Level 0,"703 South James Street, Jacksonville, AR, 72076",Pulaski,Tiffany Taggart,Cornerstone Christian Preparatory School,(501) 316-3631,info@cornerstoneprepschools.org,cornerstoneprepschools.org,87,FALSE,FALSE,FALSE
55803,"Mrs. Kelsey's Kiddos Learning Center, LLC.",Licensed Child Care Family Home,Level 0,"3636 T P White Drive, Jacksonville, AR, 72076",Pulaski,,Kelsey Richardson,(919) 809-4402,kirrasmommy@hotmail.com,,16,FALSE,FALSE,FALSE
54468,Museum of Discovery,Out of School Time,Level 0,"500 President Clinton Ave Suite 150, Little Rock, AR, 72201-1757",Pulaski,Thomas Lipham,Museum of Discovery,(501) 396-7050,lpaden@museumofdiscovery.org,https://museumofdiscovery.org/,171,FALSE,FALSE,FALSE
54262,Little scholars Seis Puentes,Out of School Time,Level 0,"4500 Springer Boulevard, Granite Mountain, Little Rock, AR, 72206",Pulaski,Kristal Jones,Pulaski County Government,(501) 340-8250,jscott@pulaskicounty.net,,72,FALSE,FALSE,FALSE
53981,Bobby G. Lester Elementary School-PreK,Child Care Center,Level 0,"601 Harris Road, Jacksonville, AR, 72076",Pulaski,Christen Bradford,Jacksonville North Pulaski School District,(501) 982-7456,cbradford@jnpsd.org,,28,FALSE,FALSE,TRUE
53801,Little Life Academy of AR - WLR,Child Care Center,Level 0,"23501 Chenal Pkwy, Little Rock, AR, 72223-6130",Pulaski,Maria Teresa Vail,Little Life Academy of Arkansas Inc,(501) 908-1717,teresa.vail@littlelifeacademy.com,littlelifeacademy.com,64,FALSE,FALSE,FALSE
53702,Best Childcare,Child Care Center,Level 0,"6500 Mabelvale Pike, Little Rock, AR, 72209",Pulaski,Shayla Donahue,BEST Childcare LLC,(501) 349-6521,nsladywade@yahoo.com,,18,FALSE,FALSE,FALSE
52852,Patience Little Learners,Registered Child Care Family Home,Level 0,"5 Vassar Cir, Little Rock, AR, 72204-4643",Pulaski,,Bobbie Wilburd,(501) 442-0344,patiencelittlelearners123@gmail.com,,5,FALSE,FALSE,FALSE
51836,"First Step Arkansas, LLC dba Arkids Pediatric Day Centers",Early Intervention Day Treatment (EIDT),Level 0,"1300 W 18th St, North Little Rock, AR, 72114-3240",Pulaski,Sommer Murphy,"First Step Arkansas, LLC dba Arkids Pediatric Day Centers",(501) 615-8629,cparker@arkidspdc.com,www.arkidspdc.com,244,FALSE,FALSE,FALSE
51835,The Lightdentity Foundation with Otter Creek Community church,Out of School Time,Level 0,"11715 Rainwood Road - Suite 1A, Little Rock, AR, 72212",Pulaski,Miya Blackmon,The Lightdentity Foundation,(501) 247-6161,miyablackmon@gmail.com,info@theocchurch.com,72,FALSE,FALSE,FALSE
51670,Right at School at eStem Elementary School,Out of School Time,Level 0,"112 West 3rd Street, Downtown, Little Rock, AR, 72201",Pulaski,Hannah Oglesby,"Right at School, LLC",(501) 400-5831,estemdowntown@rightatschool.com,rightatschool.com,141,FALSE,FALSE,FALSE
51555,Kid Champion,Child Care Center,Level 0,"11400 N Rodney Parham Rd STE C, Little Rock, AR, 72212-4124",Pulaski,Dana Kelley,Kid Champion Holding Company LLC,(501) 954-0667,info@kidchampion.com,kidchampion.com,43,FALSE,FALSE,FALSE
51510,Little Scholars Mount Pisgah,Out of School Time,Level 0,"1017 Ray Road, Jacksonville, AR, 72076",Pulaski,Trakeya Bone,Pulaski County Goverment,(501) 340-8250,jscott@pulaskicounty.net,,36,FALSE,FALSE,FALSE
51452,Excellence Plus Academy,Child Care Center,Level 0,"1 Otter Creek Court, Little Rock, Little Rock, AR, 72210",Pulaski,Monica Pettus,Excellence Plus Academy,(501) 902-9348,excellenceplus19@gmail.com,www.excellence-plus.org,25,FALSE,FALSE,FALSE
50854,Easterseals Arkansas Academy West,Early Intervention Day Treatment (EIDT),Level 0,"3724 Woodland Heights Rd, Little Rock, AR, 72212-2455",Pulaski,Karye Brockert,Easterseals Arkansas,(501) 221-0040,carrie.roberts@eastersealsar.com,www.eastersealsar.com,65,FALSE,FALSE,FALSE
50224,"Arkansas School for the Blind and Visually Impaired ""West Wing""",Child Care Center,Level 0,"2600 W Markham St, Little Rock, AR, 72205-5925",Pulaski,Rebekah Burchfield,Arkansas School for the Blind and Visually Impaired,(501) 683-2721,lori.cole@ade.arkansas.gov,asbvi.ade.arkansas.gov,36,FALSE,FALSE,FALSE
49815,Arkansas School for the Deaf,Child Care Center,Level 0,"2400 W Markham St, Little Rock, AR, 72205-6129",Pulaski,KaAnn Varner,Arkansas School for the Deaf,(501) 658-0963,kaann.varner@ade.arkansas.gov,,10,FALSE,FALSE,FALSE
49236,Boys and Girls Club of Jacksonville,Out of School Time,Level 0,"1 Boys Club Dr, Jacksonville, AR, 72076-5001",Pulaski,Michael Boone,Boys and Girls Club of Jacksonville,(870) 228-2556,michael@jbgc.org,www.jbgc.org,114,FALSE,FALSE,FALSE
48971,City of Little Rock After-School Program at J.A. Fair,Out of School Time,Level 0,"13420 David O Dodd Road, Little Rock, AR, 72210",Pulaski,Debra Banks,City of Little Rock,(501) 371-4583,dbanks@littlerock.gov,,1519,FALSE,FALSE,FALSE
48968,Little Scholars Oak Grove,Out of School Time,Level 0,"5703 Oak Grove Rd, North Little Rock, AR, 72118-1988",Pulaski,Kimberly Coleman,Pulaski County Government,(501) 340-8250,lsoakgrovepcys@gmail.com,,172,FALSE,FALSE,FALSE
48954,Little Scholars Harris,Out of School Time,Level 0,"4424 Arkansas 161, North Little Rock, AR, 72117",Pulaski,Ja'Lynn Adams-Gray,Pulaski County Government,(501) 340-8250,lsharrispcys@gmail.com,,105,FALSE,FALSE,FALSE
48938,Little Scholars Landmark,Out of School Time,Level 0,"16712 Arch St, Little Rock, AR, 72206-6157",Pulaski,Delorise Foster,Pulaski County Government,(501) 340-8250,lslandmarkpcys@gmail.com,,36,FALSE,FALSE,FALSE
48937,Little Scholars Daisy Bates,Out of School Time,Level 0,"14300 Dineen Drive, Little Rock, AR, 72206",Pulaski,Gregg Easter,Pulaski County Government,(501) 340-8250,lsdaisybates@gmail.com,,136,FALSE,FALSE,FALSE
48754,North River Christian Academy,Child Care Center,Level 0,"5845 Roundtop Drive, North Little Rock, AR, 72117",Pulaski,Tammy Fletcher,North River Christian Academy Inc.,(501) 902-6755,tfletcher@nrca-chargers.com,www.nrca-chargers.com,20,FALSE,FALSE,FALSE
48715,Right at School at Oakbrooke Elementary,Out of School Time,Level 0,"2200 Thornbill Drive, Sherwood, AR, 72120",Pulaski,Andrea Arnold,"Right at School, LLC",(501) 779-1705,oakbrooke@rightatschool.com,rightatschool.com,36,FALSE,FALSE,FALSE
48664,Right at School at Joe T Robinson,Out of School Time,Level 0,"21600 Arkansas 10, Little Rock, AR, 72223",Pulaski,Chanetra Gaines,"Right at School, LLC",(501) 507-9564,joetrobinson@rightatschool.com,rightatschool.com,36,FALSE,FALSE,FALSE
48663,Right at School at Baker Elementary,Out of School Time,Level 0,"15001 Kanis Road, Little Rock, AR, 72223",Pulaski,Yolanda Jenkins,"Right at School, LLC",(501) 507-4518,baker@rightatschool.com,rightatschool.com,108,FALSE,FALSE,FALSE
48647,Right at School at Chenal Elementary,Out of School Time,Level 0,"21201 Denny Road, Little Rock, AR, 72223",Pulaski,Yolanda Goodman,"Right at School, LLC",(501) 507-4355,chenal@rightatschool.com,rightatschool.com,72,FALSE,FALSE,FALSE
48259,Safe Keepings,Out of School Time,Level 0,"1624 Cleveland St, Little Rock, AR, 72204-2546",Pulaski,Gloria Sanders,Safe Keepings,(501) 265-0223,safekeepings1624@gmail.com,,63,FALSE,FALSE,FALSE
48237,Thrasher Boys & Girls club,Out of School Time,Level 0,"3301 S State St, Little Rock, AR, 72206-3477",Pulaski,Derrick Williams,Boys & Girls Club of Central Arkansas,(501) 376-2988,dwilliams@arclubs.org,wwwbgcofca.com,373,FALSE,FALSE,FALSE
45464,Little Life Academy,Child Care Center,Level 0,"8000 Crystal Hill Rd, North Little Rock, AR, 72118",Pulaski,MyKenzie Rayburn,Little Life Academy of Arkansas Inc.,(501) 420-3475,allison.martin@littlelifeacademy.com,littlelifeacademy.com/glr,122,FALSE,FALSE,FALSE
30396,Access Group Inc,Early Intervention Day Treatment (EIDT),Level 0,"1500 N Mississippi St, Little Rock, AR, 72207",Pulaski,Cheri Stevenson,Accessabilities,(501) 217-8600,cheri@accessgroupinc.org,,214,FALSE,FALSE,FALSE
28358,Pathfinder Summer Day Academy,Early Intervention Day Treatment (EIDT),Level 0,"2615 W Main St, Jacksonville, AR, 72076-4215",Pulaski,Deborah Rogers,"PATHFINDER, INC.",(501) 982-0528,shana.fryar@pathfinderinc.org,,154,FALSE,FALSE,FALSE
27063,Full Potential Child Development Center,Early Intervention Day Treatment (EIDT),Level 0,"8109 I-30, Little Rock, AR, 72209-4840",Pulaski,Trevor Lay,Potential Horizons LLC,(501) 562-5400,trevor.lay@fullpotentialclinic.com,,459,FALSE,TRUE,FALSE
15758,ACCESS Group Inc.,Early Intervention Day Treatment (EIDT),Level 0,"10618 Breckenridge Dr, Little Rock, AR, 72211-1802",Pulaski,Monika Garner-Smith,Accessabilities,(501) 217-8600,monika@accessgroupinc.org,,309,FALSE,FALSE,FALSE
38283,The P.A.T People Advocating Transition Center Co.,Out of School Time,Level 0,"6210 Baseline Rd, Little Rock, AR, 72209-4728",Pulaski,,RONALD KIRBY,(501) 265-0302,ronald.kirby@thepatcenter.org,https://peopleadvocatingtransition.com/,54,FALSE,FALSE,FALSE
38133,We Care of Pulaski County,Out of School Time,Level 0,"3523 Slinker Rd, Little Rock, AR, 72206-4815",Pulaski,Sherry Lowe,We Care of Pulaski County,(501) 897-0500,wecarerec@sbcglobal.net,,45,FALSE,FALSE,FALSE
37982,Pulaski Academy,Child Care Center,Level 0,"12701 Hinson Rd, Little Rock, AR, 72212-3301",Pulaski,Tiffany Knight,Pulaski Academy Board Of Directors,(501) 604-1910,tiffany.knight@pulaskiacademy.org,,266,FALSE,FALSE,FALSE
37978,Little Rock Montessori School,Child Care Center,Level 0,"3704 North Rodney Parham, Little Rock, AR, 72212",Pulaski,Amy Barrett,Arkansas Montessori Society Inc.,(501) 225-2428,amy.barrett@lrmontessori.org,,171,FALSE,FALSE,FALSE
35768,Huff N Puff Fitness Dance & Gymnastics,Out of School Time,Level 0,"613 N 1st Street, Jacksonville, AR, 72076",Pulaski,Jackie York,"Huff N Puff Fitness Dance & Gymnastics, Inc.",(501) 985-1818,jaxhnpchildcare@gmail.com,www.jaxgymathnp.com,90,FALSE,FALSE,FALSE
35575,Missy's Care-A-Lot Family Childcare,Licensed Child Care Family Home,Level 0,"5003 Charles Cove, North Little Rock, AR, 72117-1644",Pulaski,,Melissa Griffin,(501) 850-4331,carealot_ar@yahoo.com,,16,FALSE,FALSE,FALSE
31364,Boys and Girls Club of Central Arkansas- Penick Unit,Out of School Time,Level 0,"1201 Leisure Place, Little Rock, AR, 72204",Pulaski,Cindy Doramus,Boys and Girls Club of Central Arkansas,(501) 666-5494,kbrown@arclubs.org,,287,FALSE,FALSE,FALSE
31363,Billy Mitchell Boys and Girls Club,Out of School Time,Level 0,"3107 W Capitol Ave, Little Rock, AR, 72205-5832",Pulaski,Steven Riffle,Boys and Girls Club of Central Arkansas,(501) 666-9486,sriffle@arclubs.org,,198,FALSE,FALSE,FALSE
31361,Boys and Girls Club of Central Arkansas- Dalton Whetstone Unit,Out of School Time,Level 0,"46 Harrow Drive, Little Rock, AR, 72209",Pulaski,Cindy Doramus,Boys and Girls Club of Central Arkansas,(501) 562-4082,mlewis@arclubs.org,,239,FALSE,FALSE,FALSE
31097,Unity Martial Arts,Out of School Time,Level 0,"1524 Garfield Dr, Little Rock, AR, 72204-2501",Pulaski,Tanner Critz,Unity Martial Arts LLC,(501) 664-0604,tannercritz@gmail.com,,174,FALSE,FALSE,FALSE
29874,Miss Cherie's Day Care,Child Care Center,Level 0,"12900 Cantrell Rd, Little Rock, AR, 72223-1700",Pulaski,Cherie Carney,Cheryl Carney,(501) 690-0784,cherie@misscheriesdaycare.com,,73,FALSE,FALSE,FALSE
28809,Little Rock Athletic Club Kid's Down Under Center,Child Care Center,Level 0,"4610 Sam Peck Road, Little Rock, AR, 72223",Pulaski,Melody Nation,Little Rock Athletic Centers LLC,(501) 225-3600,melodynation@lrac.com,www.lrac.com,148,FALSE,FALSE,FALSE
28808,Little Rock Racquet Club,Child Care Center,Level 0,"1 Huntington Road, Little Rock, AR, 72227",Pulaski,Maria Rogers,Little Rock Athletic Centers LLC,(501) 225-5711,mariarogers@lrrcfc.com,,20,FALSE,FALSE,FALSE
28416,Central Arkansas Christian Preschool,Child Care Center,Level 0,"6101 John F Kennedy Boulevard, North Little Rock, AR, 72116",Pulaski,Amy Zini,Central Arkansas Christian Schools Inc.,(501) 835-5924,azini@cacmustangs.org,,298,FALSE,FALSE,FALSE
28114,Maumelle Gymnastics,Child Care Center,Level 0,"9300 White Oak Crossing, Maumelle, AR, 72113",Pulaski,Connie Raley,Connie Raley,(501) 753-5437,kim@mgckids.com,www.mgckids.com,81,FALSE,FALSE,FALSE
26935,Wiggles & Giggles Daycare,Child Care Center,Level 0,"20400 Arch St Suite 4, Little Rock, AR, 72206-9674",Pulaski,Brandie Tiernan,Brandie Davis,(501) 888-3455,badavis1818@gmail.com,,137,FALSE,FALSE,FALSE
26868,Little Rock Montessori School South,Child Care Center,Level 0,"12015 Hinson Rd, Little Rock, AR, 72212-3408",Pulaski,Amy Barrett,Arkansas Montessori Society Inc.,(501) 225-2428,amy.barrett@lrmontessori.org,,81,FALSE,FALSE,FALSE
26193,Abundant Life School,Child Care Center,Level 0,"9200 AR-107, Sherwood, AR, 72120",Pulaski,Mandy Pitts,Sylvan Hills 1st Baptist Church,(501) 835-3120,mpitts@alca-owls.com,www.abundantlifeschool.com,59,FALSE,FALSE,FALSE
25740,Jacksonville Christian Academy Preschool,Child Care Center,Level 0,"3301 N 1st St, Jacksonville, AR, 72076-1807",Pulaski,Alana Files,Bible Baptist Church,(501) 982-5033,jcpreschooldirector@gmail.com,jcaeagles.com,102,FALSE,FALSE,FALSE
24913,Little Rock Christian Academy,Child Care Center,Level 0,"19010 Cantrell Rd, Little Rock, AR, 72223-4420",Pulaski,Stacey Flamik,Little Rock Christian Academy Board Of Trustees,(501) 868-9822,stacey.flamik@littlerockchristian.com,www.littlerockchristian.com,243,FALSE,FALSE,FALSE
24791,Janet Crim Daycare,Licensed Child Care Family Home,Level 0,"915 West Kiehl Avenue, Sherwood, AR, 72120",Pulaski,Janet Crim,Janet Crim,(501) 831-2397,crim99@att.net,,10,FALSE,TRUE,FALSE
22523,Christ the King School,Child Care Center,Level 0,"3900 N Rodney Parham, Little Rock, AR, 72212",Pulaski,Kelly Uhlig,Christ The King Church,(501) 225-7883,kuhlig@ctklr.org,,600,FALSE,FALSE,FALSE
21907,First Steps Of Life,Licensed Child Care Family Home,Level 0,"416 Pickwick Ln, North Little Rock, AR, 72118-4175",Pulaski,,First Steps of Life,(501) 753-9721,teachingiswhatilove@yahoo.com,,16,FALSE,TRUE,FALSE
21408,Beverly's Child Care,Licensed Child Care Family Home,Level 0,"1312 Hendrix, Little Rock, AR, 72204",Pulaski,,Beverly Henderson,(501) 256-4452,beverlyhenderson54@yahoo.com,,10,FALSE,TRUE,FALSE
15768,River City Gymnastics Inc,Child Care Center,Level 0,"5310 South Shackleford Road, Little Rock, AR, 72204",Pulaski,Ola Russenberger,River City Gymnastics Inc.,(501) 407-8000,coachgrady75@gmail.com,,124,FALSE,FALSE,FALSE
13799,Saint Mark's Episcopal Day School,Child Care Center,Level 0,"1000 N Mississippi St, Little Rock, AR, 72207-5982",Pulaski,Beth Davis,St Marks Episocapal Church,(501) 225-2535,stmarksschool@att.net,,115,FALSE,FALSE,FALSE
13115,Immaculate Heart Of Mary Preschool,Child Care Center,Level 0,"7025 Jasna Gora, North Little Rock, AR, 72118",Pulaski,Brenda Hiegel,Immaculate Heart Of Mary Church,(501) 851-2760,principal@ihmnlr.org,,46,FALSE,FALSE,FALSE
12059,Mothers Day Out-Calvary Baptist,Child Care Center,Level 0,"5700 Cantrell Rd, Little Rock, AR, 72207-4402",Pulaski,Linda Draper,Calvary Baptist Church,(501) 663-2636,mdo@cbclr.org,,67,FALSE,FALSE,FALSE
11800,Sherwood Day Camp,Out of School Time,Level 0,"1111 West Maryland Avenue, Sherwood, AR, 72120",Pulaski,Tommy Smith,City Of Sherwood,(501) 835-8909,tommysmith@sherwoodparks.com,,644,FALSE,FALSE,FALSE
11729,North Little Rock Catholic Academy,Child Care Center,Level 0,"1518 Parker Street, North Little Rock, AR, 72114",Pulaski,Denise Troutman,Bishop Anthony Taylor,(501) 374-5237,sharpmelody6@gmail.com,,52,FALSE,FALSE,FALSE
11156,Geyer Springs First Baptist Pre school,Child Care Center,Level 0,"12400 I-30, Little Rock, AR, 72210-7032",Pulaski,Tonja Nelson-Atkeison,Geyer Springs 1st Baptist,(501) 455-5911,tatkeison@gsfbc.org,,106,FALSE,FALSE,FALSE
10701,St Theresas School,Child Care Center,Level 0,"6311 Baseline Road, Little Rock, AR, 72209",Pulaski,Kristy Dunn,St Theresas Church,(501) 565-3855,kdunn@stslr.org,schooloffice@stslr.org,50,FALSE,FALSE,FALSE
10474,The Baptist Preparatory School,Child Care Center,Level 0,"62 Pleasant Valley Drive, Little Rock, AR, 72212",Pulaski,TKaye Thompson,AR Baptist School System,(501) 725-4447,tthompson@baptistprep.org,,302,FALSE,FALSE,FALSE
7959,Central Arkansas Christian,Child Care Center,Level 0,"10900 N Rodney Parham Rd, Little Rock, AR, 72212",Pulaski,Gay Passafiume,Central Arkansas Christian Schools Inc.,(501) 227-4963,gpassafiume@cacmustangs.org,,288,FALSE,FALSE,FALSE
7011,Immaculate Conception Preschool,Child Care Center,Level 0,"7000 John F Kennedy Boulvard, North Little Rock, AR, 72116",Pulaski,Robin Bearden,Immaculate Conception Church-school,(501) 835-0771,nschafer@icsnlr.org,www.icsnlr.org,91,FALSE,FALSE,FALSE
6619,JFK Early Learning Center Inc,Child Care Center,Level 0,"6201 John F Kennedy Blvd, North Little Rock, AR, 72116-5768",Pulaski,Kristan Gateley,JFK Early Learning Center,(501) 834-4324,ggateley3@att.net,,121,FALSE,FALSE,FALSE
949,Lake Nixon Day Camp,Out of School Time,Level 0,"18500 Cooper Orbit Rd, Little Rock, AR, 72210-2200",Pulaski,Mandy Reid,Second Baptist Church,(501) 744-8878,lakenixondaycamp@2bclr.com,www.lakenixon.com,382,FALSE,FALSE,FALSE
97,The Anthony School,Child Care Center,Level 0,"7700 Ohio St, Little Rock, AR, 72227-4039",Pulaski,Leah Bushey,The Anthony School Inc,(501) 225-3289,leahb@anthonyschool.org,,141,FALSE,FALSE,FALSE
65,Abundant Life Mother's Day Out and Day Camp,Child Care Center,Level 0,"RUTH YORK, 9008 AR-107, Sherwood, AR, 72120-2934",Pulaski,Katelyn Bridges,Sylvan Hills 1st Baptist Church,(501) 835-2204,kbridges@sylvanhillsfbc.com,sylvanhillsfbc.com,254,FALSE,FALSE,FALSE
